HMeasureID,PrimateID,HMTypeCd,Mean,Range_Lo,Month_Lo,Range_Hi,Month_Hi,CitationID,Comment,OrigIDHabitat,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
0,1,HTMP,35,,11,,11,15,,3338,,,5/18/2009,,
1,1,LTMP,15,,7,,7,15, [Mo. Lo Temp text was: July],3338,,,5/18/2009,,
2,1,WETR,,,11,,3,15, [Lo Mo. Wet text was: Nov-March],3338,,,5/18/2009,,
3,1,DRYR,,,4,,11,15, [Lo Mo. Dry text was: April-Nov],3338,,,5/18/2009,,
4,1,ANNR,1776,,,,,15,,3338,,,5/18/2009,,
5,1,G5,,,,,,12, [G - 5M text was: x],3338,,,5/18/2009,,
6,1,510,,,,,,12, [5 - 10M text was: x],3338,,,5/18/2009,,
7,1,HTMP,30.7,,,,,16,,3339,,,5/18/2009,,
8,1,LTMP,19,,,,,16,,3339,,,5/18/2009,,
9,1,ATMP,24.7,,,,,16,,3339,,,5/18/2009,,
10,1,WETR,,,11,,3,16, [Lo Mo. Wet text was: Nov-March],3339,,,5/18/2009,,
11,1,DRYR,,,4,,11,16, [Lo Mo. Dry text was: April-Nov],3339,,,5/18/2009,,
12,1,ANNR,799,,,,,16,,3339,,,5/18/2009,,
13,3,HTMP,30,,11,,1,49, [Mo. Hi Temp text was: Nov-Jan],3334,,,5/18/2009,,
14,3,LTMP,4,,6,,8,49, [Mo. Lo Temp text was: June-Aug],3334,,,5/18/2009,,
15,3,ATMP,21,,,,,49,,3334,,,5/18/2009,,
16,3,WETR,,,12,,3,49, [Lo Mo. Wet text was: Dec-March],3334,,,5/18/2009,,
17,3,DRYR,,,4,,11,49, [Lo Mo. Dry text was: April-Nov],3334,,,5/18/2009,,
18,3,ANNR,4485,,,,,49,,3334,,,5/18/2009,,
19,3,1020,,,,,,47, [10 - 20M text was: x],3334,,,5/18/2009,,
20,3,HTMP,36,36,12,40,2,51, [Mo. Hi Temp text was: Dec-Feb] [Hi Temp text was: 36-40],3335,,,5/18/2009,,
21,3,LTMP,4,4,6,12,9,51, [Mo. Lo Temp text was: June-Sep] [Lo Temp text was: 4-12],3335,,,5/18/2009,,
22,3,WETR,,,12,,3,50, [Lo Mo. Wet text was: Dec-March],3335,,,5/18/2009,,
23,3,ANNR,2778,,,,,50,,3335,,,5/18/2009,,
24,3,HTMP,30,,11,,1,50, [Mo. Hi Temp text was: Nov-Jan],3336,,,5/18/2009,,
25,3,LTMP,4,,6,,8,50, [Mo. Lo Temp text was: June-Aug],3336,,,5/18/2009,,
26,3,ATMP,21,,,,,50,,3336,,,5/18/2009,,
27,3,WETR,,,12,,3,51, [Lo Mo. Wet text was: Dec-March],3336,,,5/18/2009,,
28,3,DRYR,,,9,,10,51, [Lo Mo. Dry text was: Sep-Oct],3336,,,5/18/2009,,
29,3,ANNR,1700,1700,,4300,,51, [Avg. Ann. Rain text was: 1700-4300],3336,,,5/18/2009,,
30,4,ANNR,53,53,,213,,61, [Avg. Ann. Rain text was: 53-213],3330,,,5/18/2009,,
31,8,ELEV,,5,,100,,136,,3120,,,5/14/2009,,
32,8,HTMP,30.7,,,,,84, [Mo. Hi Temp text was: wet season],3120,,,6/29/2011,,
33,8,LTMP,19,,,,,84, [Mo. Lo Temp text was: dry season],3120,,,6/29/2011,,
34,8,ATMP,24.7,,,,,84,,3120,,,6/29/2011,,
35,8,WETR,70,,12,,3,84, [Hi Mo. Wet text was: 70] [Lo Mo. Wet text was: December-March],3120,,,5/14/2009,,
36,8,DRYR,10,,4,,11,84, [Hi Mo. Dry text was: 10] [Lo Mo. Dry text was: April-November],3120,,,5/14/2009,,
37,8,ANNR,80,,,,,84,,3120,,,5/14/2009,,
38,8,ELEV,200,,,,,116,,3121,,,5/14/2009,,
39,8,HTMP,37,,12,,12,109, [Mo. Hi Temp text was: December],3121,,,6/29/2011,,
40,8,LTMP,16,,8,,8,109, [Mo. Lo Temp text was: August],3121,,,6/29/2011,,
41,8,ATMP,27,,,,,109,,3121,,,6/29/2011,,
42,8,WETR,125,,11,,4,109, [Hi Mo. Wet text was: ~125] [Lo Mo. Wet text was: November-April],3121,,,5/14/2009,,
43,8,DRYR,10,,5,,10,109, [Hi Mo. Dry text was: ~10] [Lo Mo. Dry text was: May-October],3121,,,5/14/2009,,
44,8,ANNR,110,110,,160,,109, [Avg. Ann. Rain text was: 110-160],3121,,,5/14/2009,,
46,8,DRYR,1.7,,5,,10,133, [Hi Mo. Dry text was: 1.7] [Lo Mo. Dry text was: May-October],3122,,,5/14/2009,,
47,8,ANNR,52.2,,,,,133, [Avg. Ann. Rain text was: Total annual: 52.2],3122,,,5/14/2009,,
48,9,ELEV,,900,,1000,,169,,3811,,,5/13/2009,,
49,9,HTMP,26.9,,11,,11,160, [Mo. Hi Temp text was: November],3811,,,5/13/2009,,
50,9,LTMP,9.1,,8,,8,160, [Mo. Lo Temp text was: August],3811,,,5/13/2009,,
51,9,ATMP,18,,,,,160,,3811,,,5/13/2009,,
52,9,WETR,314.9,,12,,3,160, [Hi Mo. Wet text was: 314.9] [Lo Mo. Wet text was: December-March],3811,,,5/13/2009,,
53,9,DRYR,133.3,,4,,11,160, [Hi Mo. Dry text was: 133.3] [Lo Mo. Dry text was: April-November],3811,,,5/13/2009,,
54,9,ANNR,448.5,,,,,160,,3811,,,5/13/2009,,
55,9,ELEV,,900,,1250,,155,,3812,,,5/13/2009,,
56,9,HTMP,26,,2,,2,149, [Mo. Hi Temp text was: February],3812,,,5/13/2009,,
